index,North,South,West,East,ND,SD,WD,ED
1,,2,7,,,3,3,
2,1,3,,,3,3,,
3,2,,,,3,,,
4,,,10,,,,3,
5,,6,11,,,3,3,
6,5,,,,3,,,
7,,8,,1,,3,,3
8,7,9,14,,3,3,3,
9,8,10,15,,3,3,3,
10,9,11,,4,3,3,,3
11,10,12,17,5,3,3,3,3
12,11,,,,3,,,
13,,,19,,,,3,
14,,,20,8,,,3,3
15,,16,21,9,,3,4,3
16,15,,22,,3,,3,
17,,18,23,11,,3,3,3
18,17,,24,,3,,3,
19,,20,25,13,,3,3,3
20,19,,,14,3,,,3
21,,,,15,,,,4
22,,23,28,16,,3,3,3
23,22,,,17,3,,,3
24,,,30,18,,,3,3
25,,26,31,19,,4,3,3
26,25,,,,4,,,
27,,28,33,,,3,3,
28,27,29,34,22,3,3,3,3
29,28,30,,,3,3,,
30,29,,36,24,3,,3,3
31,,32,37,25,,3,3,3
32,31,33,,,3,3,,
33,32,,39,27,3,,3,3
34,,35,,28,,4,,3
35,34,,,,4,,,
36,,,42,30,,,3,3
37,,38,43,31,,3,3,3
38,37,,44,,3,,3,
39,,40,45,33,,3,3,3
40,39,41,46,,3,3,3,
41,40,42,,,3,3,,
42,41,,48,36,3,,3,3
43,,,,37,,,,3
44,,,,38,,,,3
45,,,,39,,,,3
46,,47,,40,,3,,3
47,46,,,,3,,,
48,,,,42,,,,3
