index,North,South,West,East,ND,SD,WD,ED
1,,,7,,,,3,
2,,,8,,,,3,
3,,,9,,,,3,
4,,5,,,,3,,
5,4,6,11,,3,3,3,
6,5,,12,,3,,3,
7,,,13,1,,,3,3
8,,9,14,2,,3,3,3
9,8,10,,3,3,3,,3
10,9,11,,,3,3,,
11,10,,17,5,3,,3,3
12,,,,6,,,,3
13,,,19,7,,,3,3
14,,15,20,8,,3,3,3
15,14,16,21,,3,3,3,
16,15,17,22,,3,3,3,
17,16,18,23,11,3,3,3,3
18,17,,24,,3,,3,
19,,20,,13,,3,,3
20,19,21,26,14,3,3,3,3
21,20,,,15,3,,,3
22,,,28,16,,,3,3
23,,,,17,,,,3
24,,,,18,,,,3
25,,26,31,,,3,3,
26,25,,32,20,3,,3,3
27,,,33,,,,4,
28,,29,34,22,,3,3,3
29,28,30,35,,3,3,3,
30,29,,36,,3,,3,
31,,,37,25,,,3,3
32,,33,38,26,,3,3,3
33,32,,39,27,3,,3,4
34,,35,40,28,,3,3,3
35,34,36,,29,3,3,,3
36,35,,42,30,3,,3,3
37,,,43,31,,,3,3
38,,,,32,,,,3
39,,,,33,,,,3
40,,41,46,34,,3,3,3
41,40,,,,3,,,
42,,,48,36,,,3,3
43,,44,,37,,3,,3
44,43,45,,,3,3,,
45,44,46,,,3,3,,
46,45,47,,40,3,3,,3
47,46,,,,3,,,
48,,,,42,,,,3
